Using an existing study with name 'mnist_lenet5' instead of creating a new one.
Trial 14 finished with value: 0.9878333333333333 and parameters: {'c1_filters': 8, 'c3_filters': 30, 'f5_units': 90, 'f6_units': 65, 'activation': 'relu'}. Best is trial 8 with value: 0.9879166666666667.
Trial 15 finished with value: 0.9878333333333333 and parameters: {'c1_filters': 6, 'c3_filters': 30, 'f5_units': 100, 'f6_units': 85, 'activation': 'tanh'}. Best is trial 8 with value: 0.9879166666666667.
Trial 16 finished with value: 0.98625 and parameters: {'c1_filters': 8, 'c3_filters': 30, 'f5_units': 90, 'f6_units': 65, 'activation': 'relu'}. Best is trial 8 with value: 0.9879166666666667.
Trial 17 finished with value: 0.9865 and parameters: {'c1_filters': 6, 'c3_filters': 26, 'f5_units': 120, 'f6_units': 80, 'activation': 'relu'}. Best is trial 8 with value: 0.9879166666666667.
Trial 18 finished with value: 0.9855833333333334 and parameters: {'c1_filters': 8, 'c3_filters': 26, 'f5_units': 80, 'f6_units': 65, 'activation': 'relu'}. Best is trial 8 with value: 0.9879166666666667.
Trial 19 finished with value: 0.9865 and parameters: {'c1_filters': 4, 'c3_filters': 30, 'f5_units': 100, 'f6_units': 65, 'activation': 'tanh'}. Best is trial 8 with value: 0.9879166666666667.
Trial 20 finished with value: 0.9863333333333333 and parameters: {'c1_filters': 10, 'c3_filters': 22, 'f5_units': 110, 'f6_units': 80, 'activation': 'relu'}. Best is trial 8 with value: 0.9879166666666667.
Trial 21 finished with value: 0.9876666666666667 and parameters: {'c1_filters': 6, 'c3_filters': 28, 'f5_units': 90, 'f6_units': 60, 'activation': 'relu'}. Best is trial 8 with value: 0.9879166666666667.
Trial 22 finished with value: 0.9851666666666666 and parameters: {'c1_filters': 6, 'c3_filters': 30, 'f5_units': 100, 'f6_units': 85, 'activation': 'tanh'}. Best is trial 8 with value: 0.9879166666666667.
Trial 23 finished with value: 0.9855833333333334 and parameters: {'c1_filters': 4, 'c3_filters': 26, 'f5_units': 100, 'f6_units': 90, 'activation': 'tanh'}. Best is trial 8 with value: 0.9879166666666667.
Trial 24 finished with value: 0.9855 and parameters: {'c1_filters': 8, 'c3_filters': 30, 'f5_units': 90, 'f6_units': 85, 'activation': 'tanh'}. Best is trial 8 with value: 0.9879166666666667.
Trial 25 finished with value: 0.9853333333333333 and parameters: {'c1_filters': 6, 'c3_filters': 28, 'f5_units': 110, 'f6_units': 75, 'activation': 'tanh'}. Best is trial 8 with value: 0.9879166666666667.
Trial 26 finished with value: 0.9866666666666667 and parameters: {'c1_filters': 8, 'c3_filters': 26, 'f5_units': 120, 'f6_units': 85, 'activation': 'tanh'}. Best is trial 8 with value: 0.9879166666666667.
Trial 27 finished with value: 0.9853333333333333 and parameters: {'c1_filters': 4, 'c3_filters': 30, 'f5_units': 100, 'f6_units': 75, 'activation': 'tanh'}. Best is trial 8 with value: 0.9879166666666667.
Trial 28 finished with value: 0.9853333333333333 and parameters: {'c1_filters': 6, 'c3_filters': 22, 'f5_units': 80, 'f6_units': 65, 'activation': 'relu'}. Best is trial 8 with value: 0.9879166666666667.
Trial 29 finished with value: 0.9886666666666667 and parameters: {'c1_filters': 10, 'c3_filters': 28, 'f5_units': 90, 'f6_units': 90, 'activation': 'tanh'}. Best is trial 29 with value: 0.9886666666666667.
Trial 30 finished with value: 0.9864166666666667 and parameters: {'c1_filters': 12, 'c3_filters': 18, 'f5_units': 90, 'f6_units': 90, 'activation': 'relu'}. Best is trial 29 with value: 0.9886666666666667.
Trial 31 finished with value: 0.9854166666666667 and parameters: {'c1_filters': 12, 'c3_filters': 22, 'f5_units': 90, 'f6_units': 100, 'activation': 'relu'}. Best is trial 29 with value: 0.9886666666666667.
Trial 32 finished with value: 0.9871666666666666 and parameters: {'c1_filters': 10, 'c3_filters': 28, 'f5_units': 90, 'f6_units': 90, 'activation': 'tanh'}. Best is trial 29 with value: 0.9886666666666667.
Trial 33 finished with value: 0.9875 and parameters: {'c1_filters': 8, 'c3_filters': 28, 'f5_units': 100, 'f6_units': 95, 'activation': 'tanh'}. Best is trial 29 with value: 0.9886666666666667.
Trial 34 finished with value: 0.9880833333333333 and parameters: {'c1_filters': 10, 'c3_filters': 14, 'f5_units': 80, 'f6_units': 85, 'activation': 'tanh'}. Best is trial 29 with value: 0.9886666666666667.
Trial 35 finished with value: 0.9875833333333334 and parameters: {'c1_filters': 10, 'c3_filters': 14, 'f5_units': 80, 'f6_units': 90, 'activation': 'tanh'}. Best is trial 29 with value: 0.9886666666666667.
Trial 36 finished with value: 0.9850833333333333 and parameters: {'c1_filters': 10, 'c3_filters': 12, 'f5_units': 80, 'f6_units': 95, 'activation': 'tanh'}. Best is trial 29 with value: 0.9886666666666667.
Trial 37 finished with value: 0.9871666666666666 and parameters: {'c1_filters': 12, 'c3_filters': 16, 'f5_units': 80, 'f6_units': 70, 'activation': 'tanh'}. Best is trial 29 with value: 0.9886666666666667.
Trial 38 finished with value: 0.9854166666666667 and parameters: {'c1_filters': 12, 'c3_filters': 14, 'f5_units': 90, 'f6_units': 70, 'activation': 'relu'}. Best is trial 29 with value: 0.9886666666666667.
Trial 39 finished with value: 0.98575 and parameters: {'c1_filters': 8, 'c3_filters': 18, 'f5_units': 80, 'f6_units': 95, 'activation': 'tanh'}. Best is trial 29 with value: 0.9886666666666667.
Trial 40 finished with value: 0.98325 and parameters: {'c1_filters': 10, 'c3_filters': 10, 'f5_units': 130, 'f6_units': 75, 'activation': 'relu'}. Best is trial 29 with value: 0.9886666666666667.
Trial 41 finished with value: 0.9853333333333333 and parameters: {'c1_filters': 16, 'c3_filters': 26, 'f5_units': 110, 'f6_units': 80, 'activation': 'relu'}. Best is trial 29 with value: 0.9886666666666667.
Trial 42 finished with value: 0.9874166666666667 and parameters: {'c1_filters': 8, 'c3_filters': 30, 'f5_units': 90, 'f6_units': 85, 'activation': 'tanh'}. Best is trial 29 with value: 0.9886666666666667.
